,Total Equity,Total Assets,Total EU interbank assets,Total nonEU interbank assets,Total Interbank Assets,Total Interbank Liabilities,Total External Assets,Total External Liabilities
AT001,10507.0,205938.0,14504.0,10540.0,25044.0,25044.0,180894.0,170387.0
AT002,7641.2845,131173.114,23007.591536,7353.215604000001,30360.80714,30360.80714,100812.30686,93171.02236
AT003,1764.609,44745.374,9560.2388788897,1228.1293672253996,10788.3682461151,10788.3682461151,33957.00575388491,32192.396753884907
BE004,17002.28064,548135.0,174435.4292015956,53775.55559732439,228210.98479892,228210.98479892,319924.01520108,302921.73456108
BE005,11705.3998045,276722.836176,16209.145771598105,7661.772984443996,23870.9187560421,23870.9187560421,252851.9174199579,241146.5176154579
CY006,2014.969,42580.0,5936.0,1971.0,7907.0,7907.0,34673.0,32658.031
CY007,2134.01,41995.513,6176.850856724925,1116.8416113220255,7293.69246804695,7293.69246804695,34701.820531953046,32567.810531953044
DE017,30361.0,1905629.60608197,126584.70597724032,67813.87511423868,194398.581091479,194398.581091479,1711231.024990491,1680870.024990491
DE018,26728.0,771201.0,98478.4,39711.70000000001,138190.1,138190.1,633010.9,606282.9
DE019,9838.0,374413.0,120340.3,13565.800000000003,133906.1,133906.1,240506.9,230668.9
DE020,7299.0,323578.0,122096.07999999999,13763.920000000013,135860.0,135860.0,187718.0,180419.0
DE021,11501.0,316354.0,88603.0,8733.0,97336.0,97336.0,219018.0,207517.0
DE022,3974.0,228586.0,82094.28812394,9122.406883449992,91216.69500739,91216.69500739,137369.30499261,133395.30499261
DE023,5539.0,328119.0,20381.938790000004,8702.221507339997,29084.16029734,29084.16029734,299034.83970266,293495.83970266
DE024,4217.878,191523.0,52474.122554944995,5654.197289920005,58128.319844865,58128.319844865,133394.680155135,129176.802155135
DE025,4434.0,150930.0,8545.219741789999,986.9569707300016,9532.17671252,9532.17671252,141397.82328748,136963.82328748
DE027,5162.0,133861.0,46621.04280173001,2631.485745579994,49252.52854731,49252.52854731,84608.47145268999,79446.47145268999
DE028,3359.0,130303.7575722,39151.0,2103.986727470001,41254.98672747,41254.98672747,89048.77084473,85689.77084473
