/Users/pauldemoor/anaconda3/bin/python "/Users/pauldemoor/Documents/MSc QFAS/MSc QFAS 2024-2025 thesis/Code/static_model_contagion_CH4_single.py"
(base) pauldemoor@mbp-van-paul Code % /Users/pauldemoor/anaconda3/bin/python "/Users/pauldemoor/Documents/MSc QFAS/MSc QFAS 2024-2025 thesis/Code/static_model_contagion_CH4_single.py"
Iteration 0/51, elapsed time: 0.0 seconds
Set parameter Username
Academic license - for non-commercial use only - expires 2025-09-30
Iteration 1/51, elapsed time: 18.96 seconds
Iteration 2/51, elapsed time: 38.65 seconds
Iteration 3/51, elapsed time: 57.39 seconds
Iteration 4/51, elapsed time: 76.97 seconds
Iteration 5/51, elapsed time: 95.5 seconds
Iteration 6/51, elapsed time: 114.83 seconds
Iteration 7/51, elapsed time: 132.05 seconds
Iteration 8/51, elapsed time: 149.19 seconds
Iteration 9/51, elapsed time: 166.17 seconds
Iteration 10/51, elapsed time: 183.1 seconds
Iteration 11/51, elapsed time: 201.25 seconds
Iteration 12/51, elapsed time: 219.58 seconds
Iteration 13/51, elapsed time: 237.16 seconds
Iteration 14/51, elapsed time: 254.21 seconds
Iteration 15/51, elapsed time: 271.05 seconds
Iteration 16/51, elapsed time: 287.86 seconds
Iteration 17/51, elapsed time: 304.85 seconds
Iteration 18/51, elapsed time: 323.45 seconds
Iteration 19/51, elapsed time: 340.09 seconds
Iteration 20/51, elapsed time: 356.73 seconds
Iteration 21/51, elapsed time: 373.33 seconds
Iteration 22/51, elapsed time: 392.69 seconds
Iteration 23/51, elapsed time: 412.04 seconds
Iteration 24/51, elapsed time: 429.32 seconds
Iteration 25/51, elapsed time: 447.17 seconds
Iteration 26/51, elapsed time: 464.8 seconds
Iteration 27/51, elapsed time: 483.2 seconds
Iteration 28/51, elapsed time: 501.11 seconds
Iteration 29/51, elapsed time: 518.57 seconds
Iteration 30/51, elapsed time: 537.88 seconds
Iteration 31/51, elapsed time: 557.26 seconds
Iteration 32/51, elapsed time: 576.02 seconds
Iteration 33/51, elapsed time: 594.73 seconds
Iteration 34/51, elapsed time: 613.7 seconds
Iteration 35/51, elapsed time: 632.29 seconds
Iteration 36/51, elapsed time: 650.85 seconds
Iteration 37/51, elapsed time: 669.48 seconds
Iteration 38/51, elapsed time: 688.33 seconds
Iteration 39/51, elapsed time: 706.51 seconds
Iteration 40/51, elapsed time: 725.5 seconds
Iteration 41/51, elapsed time: 744.2 seconds
Iteration 42/51, elapsed time: 761.7 seconds
Iteration 43/51, elapsed time: 778.53 seconds
Iteration 44/51, elapsed time: 796.81 seconds
Iteration 45/51, elapsed time: 815.94 seconds
Iteration 46/51, elapsed time: 833.96 seconds
Iteration 47/51, elapsed time: 851.94 seconds
Iteration 48/51, elapsed time: 871.01 seconds
Iteration 49/51, elapsed time: 889.33 seconds
Iteration 50/51, elapsed time: 907.32 seconds
